	gt	ms_total	s0	s1	s2	s3	s4	s5	s6	s7	s8	s9
0	29	0.11492819909252619	0.008569266771523854	0.004890790245998757	0.006460273240059308	0.008313393631207679	0.010629814703098208	0.014634206804714433	0.01782069033536863	0.023029639077537554	0.02058012428301779	0.0
1	42	0.17896276117083543	0.008500284417700184	0.004778036412049462	0.006583911607753037	0.009327108773099835	0.012959436544368066	0.02057593488097201	0.02701381618579788	0.03233427232628662	0.056889960022808356	0.0
2	68	0.16881121126305662	0.019363356727942548	0.013221088947835323	0.015429326869146864	0.017274828659385552	0.01729605264372485	0.022366998205808807	0.02408808169601615	0.02088264398784747	0.018888833525349057	0.0
3	39	0.2099654295727321	0.009945612169399057	0.007175136158476012	0.01124213105129565	0.01616404929742365	0.017960587809360076	0.02439830148509102	0.028029862991601706	0.032886299672137936	0.062163448937946966	0.0
4	76	0.17923263605759915	0.008449285263482705	0.008421326696659076	0.012632351644617196	0.017942532672757344	0.023830031095001133	0.03167185410441859	0.02799663589656088	0.020943593142116624	0.027345025541985625	0.0
5	41	0.1584777866558455	0.016564556266608327	0.010380537018659368	0.012526922059261349	0.015702392225731304	0.016498876843220506	0.01838150671219879	0.020143794797725073	0.021807331327865997	0.02647186940457477	0.0
6	39	0.1761390022523792	0.010098967865802147	0.006240229448230835	0.0075571393217522854	0.008577827370000301	0.010617566449177733	0.016865348560425143	0.031632538977467275	0.04390178391926967	0.04064760034025381	0.0
7	40	0.2405630590701459	0.008310929662304288	0.007877054172151059	0.010874146221741588	0.013970202489610423	0.01863987213433215	0.028354334758908424	0.03456092020169013	0.037195480300668604	0.08078011912873927	0.0
8	33	0.08933648132446256	0.006069038701637535	0.0028455372889556593	0.0036251721509848395	0.004779066606442023	0.006481260073921647	0.009789319518354518	0.014397101964102037	0.020949742729732455	0.020400242290331837	0.0
9	33	0.1287315432291358	0.013686714224059461	0.009147791911230671	0.011968511740242053	0.010045358757151951	0.010760054178413938	0.014967617938214762	0.018669827306539124	0.018713293092680293	0.020772374080603534	0.0
10	52	0.23373886252002463	0.006139714050227261	0.005178918530233828	0.009360134277811795	0.014597249212799843	0.017224820012903673	0.025766083668923113	0.043491525043471924	0.04893587679243659	0.06304454093121657	0.0
11	37	0.22557489269681752	0.02655722688087253	0.016797872725025278	0.01825013156309119	0.02059563249268273	0.020134168647605317	0.02384131285260255	0.03113036977355162	0.03094830934311027	0.03731986841827602	0.0
12	61	0.17366394825363665	0.013220060611296203	0.007815656360055693	0.009836922419251121	0.013254109480558756	0.01548590096947661	0.020032073259585143	0.020718626583732105	0.02096497199677933	0.05233562657290168	0.0
13	71	0.15593256868502842	0.005699574576326093	0.005312936290735582	0.00814455110160766	0.01148686647871995	0.013921621941657546	0.019949493856601802	0.02382913226540089	0.02450238800049195	0.04308600417348694	0.0
14	44	0.1899867970604753	0.009957988652888883	0.007631869487420314	0.010408566409090768	0.012103317837618997	0.014425081223652124	0.023109040318626345	0.03569297065980461	0.04943302851799759	0.027224933953375673	0.0
15	34	0.11166693437471217	0.00777190061891323	0.004757806038312381	0.006020526216121275	0.008338409631712113	0.010558398759618785	0.01555924027938477	0.01570558720595153	0.016207075307572826	0.026747990317125277	0.0
16	70	0.2148409120442698	0.011883971256138316	0.010202441560802753	0.014975711565262874	0.021202335603625774	0.02403764718135181	0.03173129404181206	0.03641673236023349	0.031751829504138275	0.03263894897090447	0.0
17	52	0.1388679606800506	0.009368616016294134	0.003985296846167838	0.005193869473832888	0.006446294873688016	0.008665134550126184	0.014138829980455497	0.021019484612122673	0.030679595977215215	0.039370838350148166	0.0
18	29	0.24016284000257965	0.0075135306985274625	0.007321536701753062	0.01386544371703435	0.021136411091809956	0.023491556575851752	0.03513890597345759	0.049485064067093174	0.043107029137226034	0.03910336203982629	0.0
19	27	0.09280131253015908	0.007621904026230369	0.0032180309042106415	0.003765799811139825	0.004197744412325897	0.005344468814754822	0.008522010655354155	0.012824589834244917	0.01979861618268706	0.027508147889211392	0.0
20	46	0.2237377906791697	0.017440680849952837	0.012227197972362904	0.016677073360446985	0.01911713812660077	0.018794274193588235	0.02638824561009167	0.02998621133274154	0.026800096508475688	0.05630687272490903	0.0
21	76	0.1387705804761886	0.004709870760544558	0.0048138857645740425	0.007959089068630293	0.012272656409831821	0.015980935005605552	0.022883978202710334	0.02685635571104507	0.026323837059189198	0.016969972494057732	0.0
22	51	0.29543026610116396	0.025885667302467302	0.017944469380857777	0.020530532895053445	0.025406798500497638	0.02674034874620302	0.032580374032254666	0.031682993244875085	0.027380597780446284	0.08727848421850876	0.0
23	47	0.2358381534140015	0.013838487384091084	0.009795515406838543	0.012992654879294891	0.016784595738288256	0.01982723806159206	0.026543675480468598	0.029944345628044683	0.03633322628923887	0.06977841454614449	0.0
24	52	0.24638256903107025	0.009189632266607059	0.00734931993773625	0.011345349275230936	0.016827353377522246	0.02253533882684211	0.03142860214624768	0.04711929236946384	0.0413079719487143	0.05927970888270583	0.0
25	66	0.16966437273783894	0.00838654570204291	0.007449436085271115	0.011068093348297258	0.015048797760058779	0.01731838846800115	0.025034768595474953	0.03010753460555123	0.027315127827144285	0.027935680345997246	0.0
26	31	0.15509152745903657	0.009440226287463886	0.0073389999447350425	0.009536802405110657	0.011599092956585393	0.012880204927585251	0.018224130549316545	0.021503135634639153	0.02380169190590528	0.04076724284769536	0.0
27	57	0.19355239011680853	0.007185215228207649	0.005457729324036335	0.008955873756946888	0.013889807182139485	0.019391859428521785	0.02730344776917403	0.033063929042083814	0.03555696394180664	0.042747564443891904	0.0
28	73	0.18754109481039655	0.010885061194631262	0.007345290705754926	0.010969871722512133	0.015999774506502203	0.02022192179691132	0.02935962221205548	0.03625567662010244	0.026609116680054015	0.029894759371872782	0.0
29	65	0.10459412942975624	0.013694212054823681	0.008506077321488741	0.006962139230060551	0.008758922226857981	0.010412705709940961	0.013438532304231424	0.01434843891485574	0.017273882541052787	0.011199219126444379	0.0
30	18	0.14683276628188424	0.008988763416628869	0.005815203342635461	0.00795904651699721	0.010024886268358207	0.013331261690053806	0.020736803484706898	0.02700985222513446	0.027935417632302	0.025031531705067347	0.0
31	24	0.10781184341421363	0.006188665404099616	0.006236334248500894	0.009511837215835414	0.012616844053441927	0.014965166557516077	0.020304192071088183	0.014532643897518396	0.008411046446263499	0.01504511351994961	0.0
32	35	0.23523467263577283	0.027178716213932953	0.01596352362415239	0.016297735385148886	0.01773935929704298	0.019079709235317568	0.029659627564422128	0.033907024199273154	0.028259962944844376	0.04714901417163839	0.0
33	26	0.12979423724418257	0.007813547876605188	0.008174180644377855	0.012849999824129859	0.01698087199160852	0.01759695212405523	0.019871206717051566	0.020948300058645924	0.015120422550625727	0.010438755457082697	0.0
34	80	0.259253194533824	0.008977402874754912	0.007462313427017029	0.011766492251457646	0.01756166689355864	0.02323553062979162	0.03951381667761424	0.04892820081158808	0.038150548142018736	0.06365722282602312	0.0
35	38	0.08312376346355596	0.007504879071962371	0.0031682840066786476	0.004651057099450368	0.006653124799216058	0.009713109868776913	0.013553059022537114	0.01576420139045146	0.013440429814841524	0.008675618389641496	0.0
36	49	0.21009906169603249	0.0056378987266692175	0.004260393009984773	0.007202233331608701	0.010226941663943943	0.014485520114141386	0.02316780003774744	0.03172955787095861	0.03662624395752705	0.07676247298345139	0.0
37	85	0.1946021718103355	0.018190177187904555	0.0132269169805866	0.016269842350780495	0.02090761417684608	0.02407024058247687	0.02844349449101745	0.028333906075797978	0.025120183589939712	0.020039796374985777	0.0
