	gt	frac
0	33	0.12907180893967302
1	77	0.16029023824770589
2	81	0.1624112506491692
3	28	0.03425246884131024
4	56	0.06644431179092303
5	83	0.08922710183509776
6	12	0.034968914009687185
7	41	0.15333115810626155
8	44	0.12928449601473327
9	57	0.05874927756849319
10	80	0.08145042456107568
11	0	0.02321673139629893
12	41	0.07451488988600578
13	45	0.06359987289415328
14	78	0.1262334275873678
15	36	0.11083526561993609
16	46	0.08336050137825064
17	46	0.052974722856647644
18	57	0.05234586567898092
19	52	0.07347295052682351
20	44	0.02756924682444283
21	18	0.01830218379222892
22	20	0.10129109944940688
23	16	0.07898692824266133
24	31	0.057780636818797915
25	55	4.440713988466028e-07
26	28	0.12013523406639025
27	63	0.12793090183040387
28	30	0.08613528526230509
29	47	0.1338895507501175
30	32	0.04652622562891968
31	68	0.1194706158500905
32	76	0.139150726892102
33	7	0.04671026133393988
34	23	0.06611400761797415
35	59	2.243094888683362e-06
36	46	0.05773659387349797
37	71	0.12736564392000818
38	44	0.13749864126341504
39	64	0.10019106513756265
40	45	0.13868846990445305
41	71	0.12372264288200396
42	54	0.05493683323903819
44	55	6.066800255471181e-07
45	21	0.009586406782567199
46	26	0.18057613195470945
47	100	0.09462300797897458
49	62	0.09836421795044731
50	43	0.1353873117578508
51	35	0.08433678206475714
52	26	0.04564821414439019
53	83	0.13350208017301665
54	58	0.050636000242682944
55	8	0.019345957736618204
56	40	0.06628907295731165
57	27	0.030271866021435546
58	16	0.10803438549132138
59	23	0.03785402326001667
60	24	0.07017345674830149
61	27	0.2356096551381779
62	73	0.23069901019696598
64	70	0.12602138488337103
65	71	0.11484139378851375
66	60	0.05098234596391629
67	61	0.09642266343559733
68	26	6.594351449310358e-07
69	76	0.12280531948760326
70	49	0.18389765490511975
71	57	0.07864280421530391
72	67	0.11311058655011762
73	44	0.06706574978046219
74	20	0.03817522924711507
75	45	0.0488809365953732
76	55	0.09474339754457503
77	87	0.09831867130389145
78	18	0.09840189810928504
79	16	0.08683593763548506
80	57	0.09934203616839803
81	47	0.07785474015204909
82	56	0.0632259538961788
83	49	0.040816438301488005
84	88	0.12995642839533325
85	40	0.05415843087117766
86	45	0.05228267242766224
87	64	0.09577957107145538
88	38	0.08206542026160842
89	63	0.08151244221930397
90	81	0.09006320661991962
91	48	0.042462244635558685
92	35	0.04512185120731299
93	65	0.09401832964892307
94	29	0.03409023032394643
95	20	0.04792553772911788
96	65	0.03948140291497822
97	49	0.13590213520375785
98	50	0.09484648733366018
99	46	1.5874765647909553e-07
100	79	0.18759715000262897
101	50	0.10069335647951841
102	73	0.10132516342047519
103	17	0.016012269782114636
104	75	0.15415791603646767
106	59	0.07667703734812767
107	42	0.04093369724294596
108	17	0.05027700011826998
109	56	0.17631589410081902
110	48	0.07830383979763396
111	46	0.11489219629032948
112	65	0.08071172943491173
113	54	0.031164006598811758
114	39	0.016401185500153848
115	65	1.3876284497110948e-07
116	11	0.04367990040672216
117	32	5.358649438438146e-07
118	59	0.031002858163160583
119	65	0.09891030495435726
120	21	0.02368424097871173
121	65	0.1704828020427995
122	87	0.058366889604517566
123	36	0.08039109773140386
124	19	0.05192384954821849
125	36	0.04362493239777369
126	41	0.09352525077505949
127	74	0.10534082837426334
128	38	0.06511091551499189
129	48	0.07372408064701298
130	42	0.059350698350471756
131	43	0.056069369722399995
132	51	0.043209680558489304
133	34	0.08769020055144112
134	23	0.08938904945268265
135	93	0.08469859880673686
136	37	0.031776096571490824
137	13	0.034270719271732544
138	48	0.015292139548592628
139	65	0.12088033733780107
140	81	6.666999684593225e-07
141	82	0.05000452602183374
142	19	0.07908407193629724
143	41	0.23380812925636996
144	21	0.0201860386473434
145	69	0.11919299902629885
146	16	0.05441652249474467
147	86	0.03993541069409551
148	48	0.13591333617689985
149	40	0.14065795478097898
150	27	0.09446860540940342
151	42	0.09680047982229655
152	30	0.022892225341004886
153	76	0.11343745828786006
154	58	0.14744567478878318
155	84	0.07540635772101731
156	25	0.05779210600409761
157	48	0.13519180052208407
158	63	0.09552705296996421
159	28	0.009268810120202588
160	23	0.02794307479439652
161	62	0.10892499207575149
162	40	0.05418121613492845
163	41	0.09404643333410677
164	11	0.16611208537630046
165	59	0.04794913180297619
166	51	0.21347868172640105
167	48	0.12439602718405876
168	2	0.05015061188486358
169	56	0.07344350172174337
170	15	0.01999560665687728
172	54	0.06792405325183992
174	33	0.03538907308337293
175	45	0.12231207675997582
176	18	0.034907209632814636
177	49	4.989994746272592e-07
178	72	0.14566759691886205
179	37	0.04125119148714319
180	26	0.023364037171665804
181	35	0.02675762820907667
182	64	0.06095837548709418
183	52	0.0860912669723636
184	21	0.08373951415573214
185	86	0.06921129738685321
186	37	0.06536446839633875
187	94	0.17545771730564674
188	43	0.08024923973180093
189	45	0.053378200196269286
190	66	0.12718906636077715
191	52	0.06717134315651199
192	36	0.022780128098202016
193	44	0.12962451518564877
194	22	0.040713908754454936
195	68	0.08859284544372763
197	22	0.06220113525628042
198	58	0.033757169088150026
199	16	0.07387992216164894
