	gt	frac
0	36	0.026888454501345478
1	42	0.08198330116087937
2	33	0.051025351201352535
3	45	0.07344054328788803
4	59	0.07076074071232882
5	59	0.0630991573606261
6	46	0.031015543938748565
7	52	0.05753008115397075
8	11	0.072498422292071
9	33	0.016436114813189625
10	19	0.017359980498451503
11	19	0.01582037773120842
12	22	0.029667405403014952
13	47	0.032891998912563294
14	54	0.04256071354219068
15	48	0.03172862640569695
16	62	0.03559196891436365
17	60	0.08129846892776953
18	62	0.09891335878557711
19	26	0.02919051181424349
20	22	0.022354751217016695
21	89	0.04541259969168582
22	52	0.04102964603044343
23	89	0.12478618352209754
24	68	0.03653161231743307
25	82	0.05223876534309443
26	71	0.0758496511675769
27	86	0.057691214879143825
28	80	0.06110307852557734
29	54	0.08722017236775872
30	34	0.1262469940218952
31	77	0.10434275112332361
32	69	0.053284876146501056
33	18	0.029662273144512842
34	40	0.04483368481419532
35	16	0.024423337674749725
36	48	0.05108580037579836
37	89	0.03159251622352618
38	70	0.0189374208945434
39	50	0.014628919724680754
40	76	0.03836186902282962
41	83	0.08999685098482621
42	40	0.07588541421116425
43	56	0.06149399368974064
44	47	0.07217573675610292
45	65	0.030041559045115344
46	72	0.035000317129684086
47	29	0.03558457344507274
48	25	0.03745334337244186
49	28	0.014427990029466698
50	22	0.05677795658375607
51	21	0.03112047620962964
52	82	0.06566331320019682
53	4	0.02107336752169263
54	50	0.06078549965089811
55	82	0.06531385232206455
56	31	0.04653111545585823
57	24	0.06904223520664621
58	65	0.0845791205881298
59	68	0.061080815811302716
60	64	0.08437223357254439
61	100	0.0786178092497634
62	69	0.053182573206071726
63	73	0.0720145095730785
64	44	0.03306795341594659
65	65	0.027088284324183663
66	32	0.017551521674563905
67	75	0.03610689499734145
68	44	0.02608562212819783
69	82	0.06863059813731337
70	86	0.06397413367490432
71	25	0.015643765286301067
72	0	0.015427857663363369
73	15	0.08154822774589497
74	8	0.030420614446987314
75	26	0.04341309347010994
76	54	0.07021350851401631
77	22	0.03261220633698525
78	50	0.0650378988803157
79	36	0.03855937577714483
80	45	0.07265413090443468
81	34	0.03167721346524365
82	64	0.05047699684168715
83	2	0.07434774451806891
84	14	0.03140614468839608
85	48	0.08106645657110172
86	33	0.09264619948560275
87	39	0.10298512719251965
88	36	0.1383755759705418
89	79	0.04251648067228525
90	14	0.020599260531457837
91	42	0.08398258770248186
92	34	0.06238152152216444
93	50	0.04804526854796574
94	14	0.07417259503059562
95	43	0.08993026138273008
96	58	0.03417139811313041
97	40	0.028242789534222268
98	24	0.02322752774201281
99	91	0.03242647915791686
100	73	0.034818104688363306
101	46	0.0446120456746769
102	72	0.04168519086968786
103	71	0.027950134079972343
104	71	0.05582893985134259
105	67	0.04607147752414495
106	73	0.0401050032014544
107	68	0.14403612972168583
108	24	0.09563320594167554
109	32	0.04461806690406989
110	49	0.030832914469661264
111	30	0.04089702320333147
112	19	0.04060816467473111
113	47	0.07166029357138236
114	20	0.07991934097473968
115	11	0.06672991539743414
116	21	0.05816600246546819
117	7	0.060639749973680525
118	2	0.04030804280821697
119	7	0.12723958413437
120	64	0.06506635296353278
121	31	0.017450820837357797
122	38	0.02220278204108133
123	65	0.05032471462965797
124	21	0.019171554221275318
125	55	0.015464898449450367
126	32	0.03504293396469383
127	42	0.02402174673873958
128	82	0.0609520802487675
129	87	0.054771091592986765
130	45	0.030837952177848203
131	15	0.01775666777484971
132	35	0.02290117115688468
133	46	0.05416664426136733
134	82	0.08024911750778263
135	23	0.01263690641223024
136	51	0.02481726015684013
137	52	0.025281303135434256
138	10	0.011350652470588599
139	41	0.06672741182962566
140	54	0.05525196608586082
141	8	0.05555177072588972
142	51	0.07338354854839446
143	40	0.06483278010291317
144	38	0.05096353744500193
145	67	0.04146775918868868
146	55	0.0637129232812541
147	70	0.047310397410737934
148	44	0.052156035580318866
149	71	0.04392956387245969
150	53	0.07899868044684272
151	46	0.060308284599199985
152	77	0.07084926917080145
153	47	0.030902019512564948
154	45	0.030713509918038583
155	65	0.041568153968175925
156	86	0.059732502240653684
157	89	0.07292946757741416
158	63	0.03049992917818037
159	46	0.03659631030408662
160	23	0.04263523126172361
161	83	0.09211218997407078
162	42	0.049538690126753146
163	33	0.018193488579490297
164	27	0.015265286745751954
165	83	0.0686738203068039
166	41	0.030241564255685915
167	16	0.011209413951246758
168	31	0.026761873901203395
169	33	0.022961058797353873
170	50	0.02953886813825936
171	61	0.04445606395280161
172	43	0.021552225110814102
173	63	0.026654983179641645
174	54	0.044693655518753
175	62	0.03244588386539499
176	34	0.0903696954266127
177	19	0.04662567864378403
178	87	0.06973721300774033
179	71	0.040865013586737636
180	45	0.02868836274857265
181	31	0.02124862061151967
182	37	0.050446655486120595
183	87	0.0483851581970645
184	55	0.03201952979881388
185	60	0.03245638747564795
186	80	0.057195664244189495
187	89	0.06316003415709193
188	22	0.03451157568425388
189	48	0.04827393963209764
190	7	0.00997260022928766
191	13	0.028841855567973453
192	22	0.01938935904353323
193	53	0.028852201580081525
194	34	0.0311188940628134
195	21	0.027865595012245614
196	48	0.09314462427225215
197	73	0.056372928886938574
198	60	0.09505858258312724
199	28	0.02913813935523111
200	62	0.12698820814456885
201	53	0.06721795108156522
202	36	0.030734153727194298
203	19	0.01772794853954523
204	22	0.01796185245734486
205	38	0.024730708086633746
206	12	0.019380699093667502
207	18	0.027767554638361426
208	59	0.07188691941414063
209	39	0.07682550580790311
210	4	0.05367997241699191
211	72	0.04884073315219232
212	38	0.0507326118305903
213	30	0.022771366999496903
214	60	0.04039366315363965
215	36	0.07975080512812738
216	36	0.09480708689050811
217	34	0.045954166818634894
218	8	0.03957359630010458
219	39	0.07810402677654835
220	12	0.05380762929377214
221	21	0.03907913971017228
222	10	0.029935561784649154
223	60	0.09925932036347941
224	6	0.041464655748644164
225	57	0.19815835103795607
226	34	0.03930872354723452
227	6	0.006231169020362219
228	9	0.02447600593919393
229	19	0.07094571205259462
230	67	0.025307706984511236
231	39	0.029455637846060416
232	36	0.021181642757663675
233	50	0.023534940659251567
234	24	0.044147965680062205
235	60	0.03756177729980667
236	0	0.026551335180451552
237	7	0.009582183047119344
238	37	0.01233861468082443
239	82	0.03519568838519812
240	75	0.040173847640077726
241	62	0.0528390859674312
242	63	0.03835229178114598
243	78	0.033396271991767146
244	45	0.027831621928509166
245	33	0.04355070066600124
246	46	0.04582201751339392
247	14	0.03951209113201089
248	44	0.053887014340150495
249	24	0.04753097318325669
250	17	0.017925125278693076
251	20	0.043098626785148544
252	28	0.019837044591840464
253	16	0.018382492094450174
254	31	0.05973482346333282
255	44	0.040786159398926165
256	39	0.027781551835315974
257	12	0.04165817567043197
258	12	0.028810607411577756
259	6	0.031172368478740678
260	10	0.05238422626976892
261	72	0.08448907233752886
262	62	0.06368298622212276
263	44	0.03442921976479846
264	48	0.04762919780426157
265	73	0.04423262271776795
266	72	0.0576583644496033
267	63	0.04658709185822422
268	32	0.03603612178737786
269	48	0.04405934356451068
270	49	0.052580487100721225
271	20	0.016028245967838962
272	35	0.026094087563872936
273	31	0.03499985647671926
274	57	0.04928716077599229
275	25	0.03639835484344555
276	40	0.02806945351314893
277	15	0.07262424044369803
278	47	0.04234595970116213
279	56	0.03846044148031921
280	50	0.06441862556606466
281	74	0.058200413872067584
282	68	0.046774757618478754
283	72	0.07874747112779486
284	77	0.06552556797751695
285	86	0.09820513440495707
286	13	0.11021083545740833
287	26	0.020754690998204275
288	26	0.04324507198026348
289	59	0.033466516528367886
290	49	0.0331823142518287
291	87	0.045974959445635184
292	75	0.06696222652181898
293	73	0.04190839887010819
294	91	0.059165452374489426
295	83	0.03548383604553565
296	85	0.08804665400204131
297	27	0.015198822373400547
298	82	0.04898297744623353
299	27	0.021337743054507655
300	50	0.03806092233234255
301	46	0.025436484799025636
302	18	0.05181574435217998
303	20	0.02132921638586864
304	39	0.04074958213450962
305	2	0.03609566757411999
306	74	0.07293178982628215
307	24	0.023677703657967137
308	51	0.04970427645747598
309	60	0.06801437678336872
310	51	0.057465201995175325
311	23	0.03764794811274042
312	66	0.06141558245720835
313	60	0.057123833907819846
314	25	0.06901486343620031
315	10	0.05413169538351143
316	28	0.0994943104496493
317	0	0.01648562628932834
318	44	0.04104715511859998
319	36	0.04643649659332967
320	36	0.01774576024922759
321	43	0.04997778311847934
322	38	0.03335174703589178
323	52	0.04615504378276518
324	57	0.0348337142292311
325	34	0.03465920623293157
326	0	0.008140678686111284
327	61	0.043263559119625934
328	80	0.10503219970687391
329	75	0.06233053722098143
330	85	0.05893343070627137
331	80	0.048092215303412685
332	23	0.10227031709086642
333	88	0.09164038791724641
334	22	0.04644751702345284
335	86	0.08840628841345913
336	83	0.057792439724629587
337	63	0.07659793565857184
338	60	0.04584365254058647
339	23	0.0323698940040119
340	43	0.02841835085984234
341	28	0.025874007957721608
342	63	0.02840143577744206
343	79	0.06875053490147029
344	70	0.04644000429164378
345	7	0.03256481129574675
346	36	0.059710978138036316
347	17	0.05260776921364001
348	37	0.08783904317172629
349	42	0.0693259412936379
350	3	0.030847726777789127
351	80	0.08290808857465062
352	87	0.0975205811593999
353	43	0.022922200250303098
354	77	0.06425568669380502
355	74	0.0631395515609908
356	68	0.09508829524163454
357	34	0.02199856956121047
358	67	0.06288136574602818
359	37	0.030616266588320222
360	53	0.07595361508781287
361	19	0.02941083593132126
362	25	0.044603369596680334
363	40	0.045655010018686555
364	49	0.04822463184242805
365	59	0.047804783999820584
366	54	0.04995624402783676
367	68	0.06458450441416669
368	67	0.058562214532544614
369	81	0.06370815560816226
370	79	0.0748654853337362
371	95	0.0964071670272315
372	84	0.08647274254290872
373	76	0.08809623589581733
374	86	0.07148901602331446
375	10	0.018428844318790643
376	63	0.05765174434497192
377	43	0.03055677271522751
378	38	0.015613329601439685
379	30	0.09634799898239195
380	48	0.22775900288975237
381	28	0.06289752999139255
382	42	0.05860987363290897
383	36	0.06400266843464107
384	54	0.06523576045943913
385	26	0.06829634034763485
386	6	0.022649066428920967
387	53	0.046805685027391145
388	43	0.0987794952085436
389	14	0.00976615994738498
390	50	0.08126821442335266
391	40	0.08249944626813988
392	29	0.01594431514730063
393	30	0.07006165789230795
394	64	0.03879811770812693
395	75	0.08703353139064199
396	43	0.07241340418332279
397	51	0.04792075989911698
398	88	0.0491135344258358
399	33	0.051225509006023115
400	56	0.033888006206636595
401	31	0.05850226907913382
402	72	0.04820617056934483
403	35	0.016902871975127774
404	41	0.040089788152109895
405	51	0.060599192624808666
406	49	0.02767491890452802
407	67	0.033710870612035544
408	59	0.031075785410172228
409	26	0.02469854400637333
410	28	0.037679478308832226
411	55	0.05940379998890394
412	29	0.025638952044513816
413	35	0.045902896309400205
414	15	0.02612453474587785
415	50	0.030444824048768374
416	46	0.02507797382994461
417	50	0.06736449566045545
418	43	0.06322075741186431
419	54	0.0289735256800045
