	gt	ms_total	s0	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13
0	68	0.13453312941578932	0.011411636206133795	0.005271698410849469	0.0059697387272875345	0.00684374108792749	0.007652804572310241	0.00997193336665193	0.009247770955155532	0.013784027418924202	0.015694638167660223	0.02407806539767008	0.0028521483979807496	0.016360077400198413	0.005394849307039674	0.0
1	20	0.1822680444371605	0.010960696159775182	0.0050677712848054635	0.006189584424626462	0.008241164796818598	0.009931262121532473	0.013018836945141863	0.011996057582130095	0.01826590011932174	0.01766253759767035	0.03023358557887556	0.00914911349554359	0.029053942205381017	0.012497592125538082	0.0
2	43	0.18390655097713512	0.007438574656982527	0.003201801464493335	0.00453842534637617	0.006688669578765523	0.008366416287156316	0.011755628250336037	0.012077026423736752	0.018651405543453733	0.021552315856713886	0.03710769115640276	0.011436437208173486	0.035425073125833775	0.005667086078710821	0.0
3	8	0.11747750146312844	0.006442016177367201	0.001580490518183316	0.0020897114702580375	0.002935729103089124	0.003701701381141954	0.00569267654555696	0.006122268101799498	0.008891246433677471	0.012830608448468138	0.020453732894650568	0.002109915899728771	0.0220919934072437	0.02253541108196369	0.0
4	17	0.08580829948576688	0.007845080026761448	0.002599400421614744	0.00338835265525217	0.004706692745789755	0.005706517085402381	0.007188559485679034	0.0061640490709854775	0.007416807320264876	0.010195854987547642	0.01532480846264725	0.0005428903146831073	0.012973406087569262	0.001755880821569735	0.0
5	37	0.1199088646698584	0.008184275451885886	0.0027964628874993487	0.0033768725190799547	0.004658829141552591	0.005882822058811446	0.008379167607248647	0.008065132146081498	0.01090521595511709	0.013379762665704061	0.02169222246341735	0.002778422542955946	0.019041813213769028	0.010767866016735517	0.0
6	0	0.08605784425049373	0.007540137015825506	0.001838243959439025	0.0022941440538536517	0.003235886607623077	0.004308578443553805	0.006637713153176166	0.006415593431229474	0.008895154899277238	0.01312654218399606	0.01953297944981205	0.0003682257551406228	0.011439459261049674	0.00042518603651737336	0.0
7	23	0.08912337302729328	0.008546463463181213	0.002856668970130812	0.0035887417185132718	0.004608730335094478	0.004985892621069236	0.006390355241694292	0.006190805501478595	0.00877768262056983	0.01183712125022815	0.015511227678031994	0.001909721789614417	0.011291540472339661	0.0026284213653473276	0.0
8	20	0.1364963619342866	0.006211661293536449	0.00171172066146704	0.0022494281277571962	0.0031956913083043374	0.00395011069153726	0.005670874135675363	0.006622120069097653	0.011446804798938833	0.017382740393526587	0.032548171701812956	0.009048778403148095	0.02823638691701187	0.008221873432472953	0.0
9	27	0.12892523489889124	0.008302374578350117	0.0026746553836870025	0.00367085537578283	0.005433822114586124	0.00623621736448105	0.0074507398188113465	0.007281593601058456	0.01120281164933145	0.015796846425512226	0.020191421273147325	0.004606764750389099	0.018245227285951456	0.01783190527780275	0.0
10	50	0.2558996154175622	0.010019284523260754	0.004646382491769966	0.005900071388337652	0.008329219917697275	0.010609819160971697	0.014567945966133075	0.014400258030289267	0.020687896916681332	0.02163851908395733	0.038558311814484644	0.009942655517884048	0.03757577994477344	0.05902347066132173	0.0
11	17	0.10863399866198178	0.009648038531170546	0.003269811776990329	0.003838816815719388	0.005089934911251446	0.006459209995299397	0.008325611764708642	0.006607255554053828	0.008269419928256225	0.012706284191777328	0.01690190035537444	0.0024136911301897183	0.01227584533597852	0.012828178371211953	0.0
12	12	0.1349460137368887	0.007737343239245544	0.0025485201177260783	0.0035020934089374407	0.005208156487499798	0.006525951191938287	0.009614595992918792	0.010233312464287023	0.016078327956667696	0.018649045273475107	0.027169933415232904	0.0023110896058097952	0.02001011239023978	0.00535753219291045	0.0
13	50	0.24550289771629324	0.018467848311185402	0.007819107333512876	0.008692676021691733	0.010738893056494524	0.012229615071823678	0.015868095431298964	0.015668461792170272	0.023871294569904986	0.022332513512585965	0.04221789244806917	0.016704106201708608	0.0391834310224657	0.011708962943381354	0.0
14	60	0.2233002981560554	0.017706374578141743	0.006868139232645126	0.007974731135094178	0.010271642087932685	0.012145099438418735	0.016204755773556435	0.01684587315201179	0.02787459755270969	0.028664307317992244	0.04118893819429463	0.009414412309287724	0.02120759654642551	0.006933830837544912	0.0
15	34	0.18761302655552692	0.013982021554165813	0.006096045248703457	0.0068194002209005875	0.008710780233840889	0.010958124776400256	0.015610156973625888	0.015527839780036752	0.02150793467372359	0.019080398547479664	0.028392133339258996	0.008153189702044938	0.018301762782655828	0.014473238722690256	0.0
16	40	0.10519317391506885	0.008110025458257827	0.0022858448807975837	0.002754032599125829	0.0037029973727078155	0.004859708183554335	0.00747686572862297	0.00797413941250827	0.011791714317664181	0.015235869267860611	0.023033104003519267	0.0011469823469688655	0.015848118955443913	0.0009737713880374028	0.0
17	34	0.17025965947117688	0.009237168344199097	0.004335581751929466	0.0062602231407904215	0.00939581791491357	0.010783475717860135	0.01443922495697261	0.015529617860933884	0.023822517134692908	0.020373910532146086	0.033434623863384076	0.007461247758551802	0.013110194664507916	0.0020760558302948995	0.0
18	29	0.1379740622822701	0.011316669258608136	0.004320371409798303	0.004967740429848695	0.0058484621130200105	0.006933946135765295	0.009759624172621613	0.009666230269712625	0.014384767179862111	0.014687963176413937	0.01998756226927717	0.0026205340547421885	0.02017831818208817	0.01330187363051186	0.0
19	41	0.13702732026151776	0.010065344230417002	0.004566112677525996	0.005080551287226522	0.005879599791434249	0.006671180665522546	0.009577373005578245	0.010254517649827391	0.016182650241427548	0.018628261928689972	0.028119562618600612	0.0034545214766430353	0.014762850984865242	0.0037847937037593943	0.0
20	72	0.20976968643549132	0.011808050879044678	0.005345709339019178	0.006712299922777918	0.009090468058383875	0.011454174071638852	0.016077755723477093	0.01587840350673646	0.02444360393206011	0.027844359934754787	0.0394635640340399	0.008617790812414941	0.022508395768687822	0.010525110452455685	0.0
21	71	0.15796420236325756	0.013406750077523785	0.00611523268431273	0.007462982273016108	0.009808628212958194	0.010873925049204935	0.014339521745927376	0.013723437358340175	0.015618685995387217	0.015166887849857261	0.022812848197013066	0.0037966304507658618	0.014486529692136476	0.010352142776814385	0.0
22	55	0.15009360775675704	0.012868695748980967	0.00581751244364199	0.006942755219263106	0.008485827127464329	0.009111573764701668	0.011156644537691409	0.010542880744835106	0.01396785294235862	0.014773424266305245	0.02292919205810991	0.0030716603428196697	0.016166698467717133	0.014258890092867876	0.0
23	37	0.08878799026821088	0.015517654026200745	0.003991816160352739	0.003942483985398982	0.004511733412393828	0.004993625830364657	0.00665169741071644	0.005884604880847626	0.007124034394733757	0.010810942101536566	0.013653890505971496	0.002952702010170281	0.0078044174086810535	0.0009483881408427124	0.0
24	53	0.19128649028682548	0.013473421768344575	0.0074813800706907945	0.009860951085210515	0.013485383264068255	0.015079350403292547	0.016028089324183134	0.012026716568816959	0.01368942799610888	0.013293631079316023	0.02461057059107568	0.008140925067379665	0.028581747212478067	0.015534895855860348	0.0
25	70	0.1746275431837029	0.03187642619470796	0.013461730472279589	0.01354952641013309	0.01389494369363459	0.013791492816709314	0.01599583423653726	0.013887351036859527	0.01585799257885616	0.013491787499718265	0.015431341470745583	0.0010016536763365895	0.010130756377893005	0.002256706719291976	0.0
26	38	0.12426196790431641	0.0139244791314747	0.0059168361279098225	0.0056849021916029665	0.005933131423894782	0.00639550661198364	0.008610504559630701	0.008757922784997183	0.012572581385778636	0.015148637387814915	0.02149603769085524	0.0010270083373003084	0.014636768844768475	0.004157651426305043	0.0
27	68	0.15114662109111462	0.01785937121665444	0.006514371678391331	0.006807795090213748	0.007983321214602393	0.00867430512742246	0.010898480353725263	0.010783220159262249	0.015530899803715869	0.01629772394345189	0.024240118065985992	0.004201894774937921	0.021053548451049488	0.0003015712117015785	0.0
28	23	0.21082403829166851	0.010796726840110193	0.005692177263804732	0.007961983711951122	0.011502764501880185	0.014664103295223233	0.02010160868917923	0.01729852757939936	0.01993896648394424	0.01907292695786979	0.03205559189849093	0.008523898897992299	0.0354517776878839	0.007762984483939268	0.0
29	58	0.17741314943929118	0.011744498498544465	0.0051860809348378105	0.00610311227654361	0.00825755415050274	0.009944632461265677	0.013161979784925518	0.013046296108823616	0.018711598756737304	0.02237462026592426	0.04118419873271925	0.007697713783791213	0.017640592845417396	0.0023602708392583124	0.0
30	50	0.21435057002777597	0.022035009285546574	0.00969496601647366	0.010598425971431204	0.012984831925921297	0.01474745624598095	0.018299440920362314	0.01684636797360495	0.023160655817460084	0.019163837890424213	0.02607209195540293	0.005298182418808993	0.02567459118535107	0.009774712421007739	0.0
31	34	0.12937636254564694	0.02112534205437581	0.006370522134689891	0.006132261751599071	0.006841265453937472	0.006932791728563446	0.008180859726192952	0.007493165314234926	0.009889341170945342	0.01239703889269544	0.01955916813298189	0.0016834991676374237	0.014868070464924662	0.007903036552868618	0.0
32	8	0.09082784752430548	0.009701193563156053	0.0035081988526860647	0.004494672630034562	0.004636014515608323	0.005031358999195335	0.006199347245093287	0.00577755462159377	0.007925867585374936	0.012457561492059	0.015051759660087342	0.0036974452289196174	0.009094960298370234	0.0032519128321269568	0.0
33	38	0.09449591708425562	0.0074743777653284976	0.0022730026756014434	0.003131246080675593	0.004372595847738987	0.004998923621411196	0.00632226177566832	0.00615553995051667	0.008124916694372436	0.012344565842070235	0.018845232359793223	0.0005126750621053402	0.01259994970810785	0.007340629700865839	0.0
34	72	0.19803113058299876	0.013393636856800568	0.005193907763825794	0.00536842968382241	0.006952395324798855	0.008380072977800744	0.01075670902673402	0.010240376405837326	0.014991413688244887	0.01749317240462744	0.032958393983908235	0.010556019133362833	0.0332981025036224	0.028448500829613282	0.0
35	19	0.07074507774193839	0.0074753528508261	0.002123333812294331	0.0025244850314906394	0.0026496057639181585	0.0024675039237485145	0.003200042879450334	0.003195641078579007	0.003963031480268578	0.008518378156310447	0.013255215259571199	0.0010105877182882204	0.016565415757903774	0.0037964840292890826	0.0
36	15	0.14817193517791125	0.0075700747485117365	0.002853321609811086	0.003747354691947747	0.00505012049186631	0.006550256021190713	0.010423380937178178	0.011114186677852925	0.01815489830788793	0.02447573727392178	0.037141024370804604	0.003995750744438026	0.014888086081643527	0.002207743220856686	0.0
37	66	0.10787993758699835	0.009143342125238475	0.003719499691175455	0.004494443687174644	0.0056214812568873285	0.006366234631910467	0.008650041162305996	0.007806938917578176	0.009677753165123757	0.011936184913755123	0.015945877734512975	0.0006175467556050918	0.015976614710860704	0.007923978834870166	0.0
